cve_id_pk,cve_id
600,CVE-2004-0673
601,CVE-2004-0674
602,CVE-2004-0675
603,CVE-2004-0676
604,CVE-2004-0677
605,CVE-2004-0678
606,CVE-2004-0679
607,CVE-2004-0680
608,CVE-2004-0681
609,CVE-2004-0682
610,CVE-2004-0683
611,CVE-2004-0684
612,CVE-2004-0685
613,CVE-2004-0686
614,CVE-2004-0687
615,CVE-2004-0688
616,CVE-2004-0689
617,CVE-2004-0690
618,CVE-2004-0691
619,CVE-2004-0692
620,CVE-2004-0693
621,CVE-2004-0694
622,CVE-2004-0695
623,CVE-2004-0696
624,CVE-2004-0697
625,CVE-2004-0698
626,CVE-2004-0699
627,CVE-2004-0700
628,CVE-2004-0701
629,CVE-2004-0702
630,CVE-2004-0703
631,CVE-2004-0704
632,CVE-2004-0705
633,CVE-2004-0706
634,CVE-2004-0707
635,CVE-2004-0708
636,CVE-2004-0709
637,CVE-2004-0710
638,CVE-2004-0711
639,CVE-2004-0712
640,CVE-2004-0713
641,CVE-2004-0714
642,CVE-2004-0715
643,CVE-2004-0716
644,CVE-2004-0718
645,CVE-2004-0719
646,CVE-2004-0720
647,CVE-2004-0721
648,CVE-2004-0722
649,CVE-2004-0723
650,CVE-2004-0724
651,CVE-2004-0725
652,CVE-2004-0726
653,CVE-2004-0727
654,CVE-2004-0728
655,CVE-2004-0729
656,CVE-2004-0730
657,CVE-2004-0731
658,CVE-2004-0732
659,CVE-2004-0733
660,CVE-2004-0734
661,CVE-2004-0735
662,CVE-2004-0736
663,CVE-2004-0737
664,CVE-2004-0738
665,CVE-2004-0739
666,CVE-2004-0740
667,CVE-2004-0741
668,CVE-2004-0742
669,CVE-2004-0743
670,CVE-2004-0744
671,CVE-2004-0745
672,CVE-2004-0746
673,CVE-2004-0749
674,CVE-2004-0750
675,CVE-2004-0752
676,CVE-2004-0753
677,CVE-2004-0754
678,CVE-2004-0755
679,CVE-2004-0757
680,CVE-2004-0758
681,CVE-2004-0759
682,CVE-2004-0760
683,CVE-2004-0761
684,CVE-2004-0762
685,CVE-2004-0763
686,CVE-2004-0764
687,CVE-2004-0765
688,CVE-2004-0766
689,CVE-2004-0767
690,CVE-2004-0768
691,CVE-2004-0769
692,CVE-2004-0770
693,CVE-2004-0771
694,CVE-2004-0772
695,CVE-2004-0774
696,CVE-2004-0775
697,CVE-2004-0777
698,CVE-2004-0778
699,CVE-2004-0779
700,CVE-2004-0780
701,CVE-2004-0781
702,CVE-2004-0782
703,CVE-2004-0783
704,CVE-2004-0784
705,CVE-2004-0785
706,CVE-2004-0787
707,CVE-2004-0788
708,CVE-2004-0789
709,CVE-2004-0790
710,CVE-2004-0791
711,CVE-2004-0792
712,CVE-2004-0793
713,CVE-2004-0794
714,CVE-2004-0795
715,CVE-2004-0796
716,CVE-2004-0797
717,CVE-2004-0798
718,CVE-2004-0799
719,CVE-2004-0800
720,CVE-2004-0801
721,CVE-2004-0802
722,CVE-2004-0803
723,CVE-2004-0805
724,CVE-2004-0806
725,CVE-2004-0807
726,CVE-2004-0808
727,CVE-2004-0809
728,CVE-2004-0810
729,CVE-2004-0811
730,CVE-2004-0812
731,CVE-2004-0813
732,CVE-2004-0814
733,CVE-2004-0815
734,CVE-2004-0817
735,CVE-2004-0819
736,CVE-2004-0820
737,CVE-2004-0821
738,CVE-2004-0822
739,CVE-2004-0823
740,CVE-2004-0824
741,CVE-2004-0825
742,CVE-2004-0826
743,CVE-2004-0827
744,CVE-2004-0828
745,CVE-2004-0829
746,CVE-2004-0830
747,CVE-2004-0831
748,CVE-2004-0832
749,CVE-2004-0833
750,CVE-2004-0834
751,CVE-2004-0835
752,CVE-2004-0836
753,CVE-2004-0837
754,CVE-2004-0838
755,CVE-2004-0839
756,CVE-2004-0840
757,CVE-2004-0841
758,CVE-2004-0842
759,CVE-2004-0843
760,CVE-2004-0844
761,CVE-2004-0845
