cpe_id_pk,cpe_version,part,vendor,product,version,update,edition,sw_edition,target_sw,target_hw,language,other,initial_cpe
650,2.3,o,microsoft,windows_2000,-,sp2,server,,,,,,cpe:2.3:o:microsoft:windows_2000:-:sp2:server:*:*:*:*:*
651,2.3,o,microsoft,windows_2000,-,sp3,,,,,,,cpe:2.3:o:microsoft:windows_2000:-:sp3:*:*:*:*:*:*
652,2.3,o,microsoft,windows_2000,-,sp3,,,advanced_server,,,,cpe:2.3:o:microsoft:windows_2000:-:sp3:*:*:advanced_server:*:*:*
653,2.3,o,microsoft,windows_2000,-,sp3,,,datacenter_server,,,,cpe:2.3:o:microsoft:windows_2000:-:sp3:*:*:datacenter_server:*:*:*
654,2.3,o,microsoft,windows_2000,-,sp3,,,professional,,,,cpe:2.3:o:microsoft:windows_2000:-:sp3:*:*:professional:*:*:*
655,2.3,o,microsoft,windows_2000,-,sp3,,,server,,,,cpe:2.3:o:microsoft:windows_2000:-:sp3:*:*:server:*:*:*
656,2.3,o,microsoft,windows_2000,-,sp3,advanced_server,,,,,,cpe:2.3:o:microsoft:windows_2000:-:sp3:advanced_server:*:*:*:*:*
657,2.3,o,microsoft,windows_2000,-,sp3,datacenter_server,,,,,,cpe:2.3:o:microsoft:windows_2000:-:sp3:datacenter_server:*:*:*:*:*
658,2.3,o,microsoft,windows_2000,-,sp3,professional,,,,,,cpe:2.3:o:microsoft:windows_2000:-:sp3:professional:*:*:*:*:*
659,2.3,o,microsoft,windows_2000,-,sp3,server,,,,,,cpe:2.3:o:microsoft:windows_2000:-:sp3:server:*:*:*:*:*
660,2.3,o,microsoft,windows_2000,-,sp4,,,,,,,cpe:2.3:o:microsoft:windows_2000:-:sp4:*:*:*:*:*:*
661,2.3,o,microsoft,windows_2000,-,sp4,,,advanced_server,,,,cpe:2.3:o:microsoft:windows_2000:-:sp4:*:*:advanced_server:*:*:*
662,2.3,o,microsoft,windows_2000,-,sp4,,,datacenter_server,,,,cpe:2.3:o:microsoft:windows_2000:-:sp4:*:*:datacenter_server:*:*:*
663,2.3,o,microsoft,windows_2000,-,sp4,,,professional,,,,cpe:2.3:o:microsoft:windows_2000:-:sp4:*:*:professional:*:*:*
664,2.3,o,microsoft,windows_2000,-,sp4,,,server,,,,cpe:2.3:o:microsoft:windows_2000:-:sp4:*:*:server:*:*:*
665,2.3,o,microsoft,windows_2000,-,sp4,,fr,,,,,cpe:2.3:o:microsoft:windows_2000:-:sp4:*:fr:*:*:*:*
666,2.3,o,microsoft,windows_2000,-,sp4,advanced_server,,,,,,cpe:2.3:o:microsoft:windows_2000:-:sp4:advanced_server:*:*:*:*:*
667,2.3,o,microsoft,windows_2000,-,sp4,datacenter_server,,,,,,cpe:2.3:o:microsoft:windows_2000:-:sp4:datacenter_server:*:*:*:*:*
668,2.3,o,microsoft,windows_2000,-,sp4,professional,,,,,,cpe:2.3:o:microsoft:windows_2000:-:sp4:professional:*:*:*:*:*
669,2.3,o,microsoft,windows_2000,-,sp4,server,,,,,,cpe:2.3:o:microsoft:windows_2000:-:sp4:server:*:*:*:*:*
670,2.3,o,microsoft,windows_2000,beta3,,,,,,,,cpe:2.3:o:microsoft:windows_2000:beta3:*:*:*:*:*:*:*
671,2.3,o,microsoft,windows_2003_server,r2,,,,,,,,cpe:2.3:o:microsoft:windows_2003_server:r2:*:*:*:*:*:*:*
672,2.3,o,microsoft,windows_xp,-,gold,,,,,,,cpe:2.3:o:microsoft:windows_xp:-:gold:*:*:*:*:*:*
673,2.3,o,microsoft,windows_xp,-,gold,,,professional,,,,cpe:2.3:o:microsoft:windows_xp:-:gold:*:*:professional:*:*:*
674,2.3,o,microsoft,windows_xp,-,gold,,,professional,,x64,,cpe:2.3:o:microsoft:windows_xp:-:gold:*:*:professional:*:x64:*
675,2.3,o,microsoft,windows_xp,-,gold,64-bit-2002,,,,,,cpe:2.3:o:microsoft:windows_xp:-:gold:64-bit-2002:*:*:*:*:*
676,2.3,o,microsoft,windows_xp,-,gold,64-bit-2003,,,,,,cpe:2.3:o:microsoft:windows_xp:-:gold:64-bit-2003:*:*:*:*:*
677,2.3,o,microsoft,windows_xp,-,gold,embedded,,,,,,cpe:2.3:o:microsoft:windows_xp:-:gold:embedded:*:*:*:*:*
678,2.3,o,microsoft,windows_xp,-,gold,home,,,,,,cpe:2.3:o:microsoft:windows_xp:-:gold:home:*:*:*:*:*
679,2.3,o,microsoft,windows_xp,-,gold,media_center,,,,,,cpe:2.3:o:microsoft:windows_xp:-:gold:media_center:*:*:*:*:*
680,2.3,o,microsoft,windows_xp,-,gold,professional,,,,,,cpe:2.3:o:microsoft:windows_xp:-:gold:professional:*:*:*:*:*
681,2.3,o,microsoft,windows_xp,-,gold,tablet_pc,,,,,,cpe:2.3:o:microsoft:windows_xp:-:gold:tablet_pc:*:*:*:*:*
682,2.3,o,microsoft,windows_xp,-,gold,x64,,,,,,cpe:2.3:o:microsoft:windows_xp:-:gold:x64:*:*:*:*:*
683,2.3,a,microsoft,netmeeting,-,,,,,,,,cpe:2.3:a:microsoft:netmeeting:-:*:*:*:*:*:*:*
684,2.3,a,microsoft,netmeeting,2.1,,,,,,,,cpe:2.3:a:microsoft:netmeeting:2.1:*:*:*:*:*:*:*
685,2.3,a,microsoft,netmeeting,3,,,,,,,,cpe:2.3:a:microsoft:netmeeting:3:*:*:*:*:*:*:*
686,2.3,o,microsoft,windows_me,-,,,,,,,,cpe:2.3:o:microsoft:windows_me:-:*:*:*:*:*:*:*
687,2.3,o,microsoft,windows_me,-,gold,,,,,,,cpe:2.3:o:microsoft:windows_me:-:gold:*:*:*:*:*:*
688,2.3,o,microsoft,windows_me,-,scd,,,,,,,cpe:2.3:o:microsoft:windows_me:-:scd:*:*:*:*:*:*
689,2.3,o,microsoft,windows_98,-,gold,,,,,,,cpe:2.3:o:microsoft:windows_98:-:gold:*:*:*:*:*:*
690,2.3,o,microsoft,windows_nt,4.0,,,,,,,,cpe:2.3:o:microsoft:windows_nt:4.0:*:*:*:*:*:*:*
691,2.3,o,microsoft,windows_nt,4.0,-,,,embedded,,x64,,cpe:2.3:o:microsoft:windows_nt:4.0:-:*:*:embedded:*:x64:*
692,2.3,o,microsoft,windows_nt,4.0,-,,,embedded,,x86,,cpe:2.3:o:microsoft:windows_nt:4.0:-:*:*:embedded:*:x86:*
693,2.3,o,microsoft,windows_nt,4.0,-,,,enterprise,,x64,,cpe:2.3:o:microsoft:windows_nt:4.0:-:*:*:enterprise:*:x64:*
694,2.3,o,microsoft,windows_nt,4.0,-,,,enterprise,,x86,,cpe:2.3:o:microsoft:windows_nt:4.0:-:*:*:enterprise:*:x86:*
695,2.3,o,microsoft,windows_nt,4.0,-,,,server,,x64,,cpe:2.3:o:microsoft:windows_nt:4.0:-:*:*:server:*:x64:*
696,2.3,o,microsoft,windows_nt,4.0,-,,,server,,x86,,cpe:2.3:o:microsoft:windows_nt:4.0:-:*:*:server:*:x86:*
697,2.3,o,microsoft,windows_nt,4.0,-,,,terminal_server,,x64,,cpe:2.3:o:microsoft:windows_nt:4.0:-:*:*:terminal_server:*:x64:*
698,2.3,o,microsoft,windows_nt,4.0,-,,,terminal_server,,x86,,cpe:2.3:o:microsoft:windows_nt:4.0:-:*:*:terminal_server:*:x86:*
699,2.3,o,microsoft,windows_nt,4.0,-,,,workstation,,x64,,cpe:2.3:o:microsoft:windows_nt:4.0:-:*:*:workstation:*:x64:*
700,2.3,o,microsoft,windows_nt,4.0,-,,,workstation,,x86,,cpe:2.3:o:microsoft:windows_nt:4.0:-:*:*:workstation:*:x86:*
701,2.3,o,microsoft,windows_nt,4.0,gold,,,,,,,cpe:2.3:o:microsoft:windows_nt:4.0:gold:*:*:*:*:*:*
702,2.3,o,microsoft,windows_nt,4.0,gold,embedded,,,,,,cpe:2.3:o:microsoft:windows_nt:4.0:gold:embedded:*:*:*:*:*
703,2.3,o,microsoft,windows_nt,4.0,gold,enterprise,,,,,,cpe:2.3:o:microsoft:windows_nt:4.0:gold:enterprise:*:*:*:*:*
704,2.3,o,microsoft,windows_nt,4.0,gold,server,,,,,,cpe:2.3:o:microsoft:windows_nt:4.0:gold:server:*:*:*:*:*
705,2.3,o,microsoft,windows_nt,4.0,gold,terminal_server,,,,,,cpe:2.3:o:microsoft:windows_nt:4.0:gold:terminal_server:*:*:*:*:*
706,2.3,o,microsoft,windows_nt,4.0,gold,workstation,,,,,,cpe:2.3:o:microsoft:windows_nt:4.0:gold:workstation:*:*:*:*:*
707,2.3,o,microsoft,windows_nt,4.0,sp1,,,,,,,cpe:2.3:o:microsoft:windows_nt:4.0:sp1:*:*:*:*:*:*
708,2.3,o,microsoft,windows_nt,4.0,sp1,,,embedded,,x64,,cpe:2.3:o:microsoft:windows_nt:4.0:sp1:*:*:embedded:*:x64:*
709,2.3,o,microsoft,windows_nt,4.0,sp1,,,embedded,,x86,,cpe:2.3:o:microsoft:windows_nt:4.0:sp1:*:*:embedded:*:x86:*
710,2.3,o,microsoft,windows_nt,4.0,sp1,,,enterprise,,x64,,cpe:2.3:o:microsoft:windows_nt:4.0:sp1:*:*:enterprise:*:x64:*
711,2.3,o,microsoft,windows_nt,4.0,sp1,,,enterprise,,x86,,cpe:2.3:o:microsoft:windows_nt:4.0:sp1:*:*:enterprise:*:x86:*
712,2.3,o,microsoft,windows_nt,4.0,sp1,,,server,,x64,,cpe:2.3:o:microsoft:windows_nt:4.0:sp1:*:*:server:*:x64:*
